id;date_debut;date_fin;montant;statut
1;2023-05-30;2023-05-31;75709;navigate Architecte
2;2023-05-31;2023-05-31;90715;SQL intangible
3;2023-05-30;2023-05-30;83240;reboot parsing Tilsitt
4;2023-05-30;2023-05-30;43128;override Ball
5;2023-05-30;2023-05-31;95992;redundant transmit green
6;2023-05-30;2023-05-30;68004;value-added
7;2023-05-31;2023-05-31;11340;Zadkine neural
8;2023-05-30;2023-05-30;38253;magnetic IB withdrawal
9;2023-05-30;2023-05-30;82475;Operative index
10;2023-05-31;2023-05-31;75097;Mouffetard
