id;marque;modele;description;disponibilite;tarif_journalier
1;c Krone primary;Tonga;Investment RAM ADP;false;46293
2;Account quantify;HDD;Developpeur synergize Money;true;56153
3;transmit Granite Bedfordshire;Lorraine synergies Intelligent;Progressive program c;false;84329
4;synthesize a;Customer-focused invoice application;Dollar PCI client-server;false;14365
5;encompassing Rustic overriding;d'Azur Monitored Shoes;synergistic Gloves;true;53243
6;Auvergne;withdrawal;6th;false;15779
7;compress Up-sized Avon;XML Persevering;circuit Chips Keyboard;true;40139
8;Jewelery;CSS Gloves optical;JBOD du Malawi;false;43640
9;multi-byte;Dollar;human-resource;true;70466
10;Organic grow Personal;neutral bricks-and-clicks;cross-platform;false;43170
